Source,Videoerweiterung.sch
Kicad Rev,Eeschema 5.1.10
Generated Date,Di 01 Feb 2022 20:56:21 CET

Title,JU+TE Videoerweiterung 2021
Company,Jugend+Technik
Revision,3
Date Issue,1.2.22
Comment,Bert

Reference,Value,Library,Library Ref
H1,MountingHole,Mechanical,MountingHole
H2,MountingHole,Mechanical,MountingHole
H4,MountingHole,Mechanical,MountingHole
H3,MountingHole,Mechanical,MountingHole
VT201,SC236,RFT_Transistoren_und_Dioden,SC236
VD201,SZX21/7.5,Diode,ZPDxx
VT200,SC308,RFT_Transistoren_und_Dioden,SC308
R201,1k,Device,R
R200,4,7k,Device,R
R202,4,7k,Device,R
R203,470,Device,R
C201,1µF,Device,CP_Small
VD200,SAY32,Device,D
C200,33pF,Device,C_Small
R204,8,2k,Device,R
D19,DL004D,RFT_Digitalschaltkreise,DL004D
R205,1,2k,Device,R
D5,DS8212D,RFT_Digitalschaltkreise,DS8212D
D13,UB8860,RFT_Digitalschaltkreise,UB8830
D6,U2716,RFT_Digitalschaltkreise,U2716
D15,DL540D,RFT_Digitalschaltkreise,DL540D
D17,DL540D,RFT_Digitalschaltkreise,DL540D
D2,DL540D,RFT_Digitalschaltkreise,DL540D
D8,DL540D,RFT_Digitalschaltkreise,DL540D
D14,DL295D,RFT_Digitalschaltkreise,DL295D
D21,DL257D,RFT_Digitalschaltkreise,DL257D
D10,DL257D,RFT_Digitalschaltkreise,DL257D
X200,Bus,Connector_Generic,Conn_01x29
D20,DS8205D,RFT_Digitalschaltkreise,DS8205D
D18,DL295D,RFT_Digitalschaltkreise,DL295D
C202,220p,Device,C_Small
R206,6,2k,Device,R
VD202,SAY32,Device,D
R211,470,Device,R
X203,select,Connector_Generic,Conn_01x06
R207,470,Device,R_Small
R208,470,Device,R_Small
R210,470,Device,R_Small
R209,470,Device,R_Small
X201,~CS2,Connector_Generic,Conn_01x01
X202,XTAL,Connector_Generic,Conn_01x02
X204,~KEY,Connector_Generic,Conn_01x01
X205,BUSY,Connector_Generic,Conn_01x01
X206,POWER,Connector_Generic,Conn_01x02
TP201,00,Connector,TestPoint_Small
R212,1,5k,Device,R_Small
VD203,SAY32,Device,D_Small
D16,DS8286D,RFT_Digitalschaltkreise,DS8286D
D12,DL299D,RFT_Digitalschaltkreise,DL299D
X300,8k RAM-Modul,Connector_Generic,Conn_01x29
D11,DS8286D,RFT_Digitalschaltkreise,DS8286D
D9,DL299D,RFT_Digitalschaltkreise,DL299D
X302,8k RAM-Modul,Connector_Generic,Conn_01x29
D3,DS8286D,RFT_Digitalschaltkreise,DS8286D
D1,DL299D,RFT_Digitalschaltkreise,DL299D
X301,8k RAM-Modul,Connector_Generic,Conn_01x29
D7,DS8286D,RFT_Digitalschaltkreise,DS8286D
D4,DL299D,RFT_Digitalschaltkreise,DL299D
X303,8k RAM-Modul,Connector_Generic,Conn_01x29
R406,100,Device,R
R404,220,Device,R_Small
R403,220,Device,R_Small
R402,220,Device,R_Small
R405,160,Device,R_Small
R407,75,Device,R_Small
R408,160,Device,R_Small
R409,160,Device,R_Small
R401,51,Device,R_Small
X401,DIN-5_180degree,Tiny2k_Bauteile,DIN-5_180degree
D0,DL253D,RFT_Digitalschaltkreise,DL253D
R26,6,8k,Device,R_Small
R24,2,2k,Device,R_Small
VD400,SAY32,Device,D_Small
VD401,SAY32,Device,D_Small
R22,1k,Device,R_Small
R23,1k,Device,R_Small
VT400,SC236,RFT_Transistoren_und_Dioden,SC236
R25,220,Device,R_Small
C21,33pF,Device,C_Small
R19,2,2k,Device,R_Small
VD402,SAY32,Device,D_Small
R17,1k,Device,R_Small
R18,1k,Device,R_Small
R20,220,Device,R_Small
C16,33pF,Device,C_Small
R14,2,2k,Device,R_Small
VD403,SAY32,Device,D_Small
R12,1k,Device,R_Small
R13,1k,Device,R_Small
R15,220,Device,R_Small
C11,33pF,Device,C_Small
R9,2,2k,Device,R_Small
VD404,SAY32,Device,D_Small
R7,1k,Device,R_Small
R8,1k,Device,R_Small
R10,220,Device,R_Small
R4,2,2k,Device,R_Small
VD405,SAY32,Device,D_Small
R3,1k,Device,R_Small
R5,220,Device,R_Small
C6,33pF,Device,C_Small
C1,33pF,Device,C_Small
VT401,SC236,RFT_Transistoren_und_Dioden,SC236
VT402,SC236,RFT_Transistoren_und_Dioden,SC236
VT404,SC236,RFT_Transistoren_und_Dioden,SC236
VT403,SC236,RFT_Transistoren_und_Dioden,SC236
R2,1k,Device,R_Small
X405,00,Connector_Generic,Conn_01x01
C2,220µF/16V,Device,CP_Small
C3,100nF,Device,C_Small
C12,22nF,Device,C_Small
C13,22nF,Device,C_Small
C14,22nF,Device,C_Small
C15,22nF,Device,C_Small
C17,22nF,Device,C_Small
C18,22nF,Device,C_Small
C4,22nF,Device,C_Small
C5,22nF,Device,C_Small
C7,22nF,Device,C_Small
C8,22nF,Device,C_Small
C9,22nF,Device,C_Small
C10,22nF,Device,C_Small
C19,100nF,Device,C_Small
C22,100nF,Device,C_Small
C20,22nF,Device,C_Small
C24,22nF,Device,C_Small
JP507,B,Device,Jumper_NO_Small
JP506,SYN,Device,Jumper_NO_Small
JP502,V,Device,Jumper_NO_Small
JP504,HR_low,Device,Jumper_NO_Small
JP501,HR_high,Device,Jumper_NO_Small
JP503,HR_P34,Device,Jumper_NO_Small
JP505,W,Device,Jumper_NO_Small
R501,3,3k,Device,R_Small
TP400,V,Connector,TestPoint_Small
TP401,B,Connector,TestPoint_Small
TP402,S,Connector,TestPoint_Small
TP403,G,Connector,TestPoint_Small
TP404,R,Connector,TestPoint_Small
C23,47µF/10V,Device,CP_Small
